,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
merge_NG-28520_B62-bin.29,5768,3778,40709,14861,14834,2481,109374,85145,74343,1014,5304,4308,5670,21579,74424,31367,27005,83738,22802,154469,10690,4543,5279,63492,38152,2489325,40310,4053145,14935,14239,16856,198868,71810,27954,2355,2635,2953,2884,3399,2325,3927,3682,2226,3761,322602,19406,4521,3984,3148,6279,5437,933123,2857,7176,85652
merge_NG-28520_B62-bin.30,175,184,93991,3104,2284,723,80359,86631,67835,9,44,93,59,211,240,160,37,43,45,255,686,177,317,122,50,2194,2371,926,29323,57190,8558,24392,59203,47793,122,301,403,304,267,54,295,332,184,526,87713,10457,1338,736,675,1490,1518,62684,900,1197,25368
merge_NG-28520_B62-bin.34,3998,1322,1568,346,321,95,666,798,742,2,10,44,31,0,1,0,0,4,8,8,7510,2830,2944,2,0,6,2,0,1346,2390,2357,5080,4043,4833,114,216,1615,1649,7055,78,205,1814,2887,8210,77996,169970,316805,571968,379319,202,179,16336,12019,87300,248652
merge_NG-28520_B62-bin.38,22,41,11545,3295,3664,947,11697,14876,10169,0,5,2,4,1199,496,1892,67,112,1350,4976,111,39,52,5312,731,2631,2528,4088,4498,7421,9517,8460,8125,8371,2897,3743,6421,3234,2297,2122,4129,4786,1795,2927,11667,3933,4695,3723,2644,2732,2716,9145,5255,4346,3116
merge_NG-28520_B62-bin.40,189,175,226352,67370,67709,24717,126000,71530,101575,13,56,9,13,4,7,18,29,5,49,85,573,173,238,40,17,42,11,14,388491,95734,742379,317889,265804,261104,132377,15519,12975,73195,8138,96375,18522,12290,21467,11119,383883,425946,304807,218700,66418,209392,194459,346239,30835,27778,58872
merge_NG-28520_B62-bin.48,7264,10438,4273229,5521277,5295583,1321793,3160395,4115174,4170798,7,15,50,23,2,10,12,17,9,21,19,13848,13606,17743,26,9,25,10,14,2838095,3119772,3412038,2937638,3829316,3987415,165738,62411,9922,5262,6829,165146,439819,215742,76861,13351,1191475,745394,466039,303341,161382,2312408,2561251,814093,1024184,297528,345577
merge_NG-28520_B62-bin.49,125,161,8542,4207,2421,882,10035,13939,10581,5,11,24,8,3986,809,275,39,1928,15,65,471,124,265,9454,2533,1735,74071,5407,2854,2133,12696,7836,2651,3142,601,1512,617,402,250,628,4758,15232,3349,545,42060,24197,22288,21250,5236,4631,5570,33058,651,3226,3948
merge_NG-28520_B62-bin.66,1227,979,1022,589,791,166,898,1246,1047,217,791,2396,3295,10,0,2,4,10,7,3,3262,1317,2608,8,9,248,94,294,624,1414,844,1192,1072,1166,27551,2574,4387,2150,1009,20114,7139,4916,1214,8323,28728,10296,5111,3588,3717,602,543,757,3468,430748,5192
merge_NG-28520_B62-bin.70,17,52,83071,6476,12767,2627,9118,10334,10377,0,3,1,4,40,1,12,1882,9564,909,4243,76,41,55,325,288,4214,639,642,18180,1790,33649,61868,44044,231419,629,4052,308,182,148,171,3031,252,107,196,10167,460,174,186,126,6889,6906,22914,2102,2232,786
merge_NG-28520_B62-bin.76,415,120,1846,2414,2636,590,2518,2939,2265,42,199,100,119,11,16,27,28,17,147,94,1898,195,449,22,10,248,66,52,3855,3292,4518,3532,2931,2363,1021,1652,3753,9259,6168,1434,1959,4290,5394,8069,34402,12417,6436,7016,4523,1823,1612,3225,9428,7851,5602
