,UNDR01_2HCb,UNDR01_2MCb,UNDR03_102,UNDR03_117,UNDR03_118,UNDR03_119,UNDR03_121,UNDR03_122,UNDR03_123,UNDR03_1HAb,UNDR03_1HBb,UNDR03_1MAa,UNDR03_1MCa,UNDR03_2,UNDR03_22,UNDR03_23,UNDR03_24,UNDR03_25,UNDR03_26,UNDR03_27,UNDR03_2HBb,UNDR03_2MAa,UNDR03_2MBb,UNDR03_3,UNDR03_4,UNDR03_5,UNDR03_6,UNDR03_7,UNDR03_74,UNDR03_75,UNDR03_76,UNDR03_78,UNDR03_79,UNDR03_80,merge_NG-28520_B06,merge_NG-28520_B11,merge_NG-28520_B16,merge_NG-28520_B22,merge_NG-28520_B28,merge_NG-28520_B34,merge_NG-28520_B39,merge_NG-28520_B44,merge_NG-28520_B50,merge_NG-28520_B56,merge_NG-28520_B62,merge_NG-28520_B67,merge_NG-28520_B72,merge_NG-28520_B78,merge_NG-28520_B84,merge_NG-28520_B85,merge_NG-28520_B88,merge_NG-28520_B91,merge_NG-28520_B94,merge_NG-28520_B95,merge_NG-28520_B96
UNDR01_2HCb-bin.0,373235,103091,22,67,74,16,44,29,39,40322,167214,1229,1721,4349,5570,15976,14583,3902,22605,64228,511125,198660,101987,12776,5255,60023,18640,22234,1288,1650,1885,16113,14805,11806,19,3,2,11,9,13,6,6,2,6,18,5,4,8,5,65,78,24,13,111,14
UNDR01_2HCb-bin.13,44722,1240,3,1,2,1,0,0,2,971,4862,55,81,4,36,3,5,24,57,70,56421,2713,1423,4,2,991,378,421,8,5,10,781,644,572,15,8,5,4,17,12,9,14,8,10,10,13,7,17,10,3,14,9,5,8,7
UNDR01_2HCb-bin.15,86186,3594,67,0,2,1,1,0,2,568,3249,134,144,458,181,176,323,36,423,17,176902,5304,3278,757,458,6924,2707,1866,2682,2664,3420,2168,1339,1060,2,2,0,5,1,1,0,0,0,1,2,1,1,1,2,0,1,2,1,1,0
UNDR01_2HCb-bin.18,109524,4724,14,16,48,2,19,22,14,2830,12809,167,194,2,23,26,43,23,122,783,151051,5527,6515,28,23,273,66,53,25,11,12,27,25,16,31,20,23,24,34,12,16,21,31,36,34,17,23,35,22,35,28,26,19,30,7
UNDR01_2HCb-bin.19,32450,1463,3,1,2,2,2,1,4,38,215,55,74,7,1,4,1,6,38,100,80897,2775,1288,2,1,60,21,17,32,28,35,2903,2794,2518,4,6,3,3,6,2,2,5,10,6,8,5,5,5,8,9,6,10,2,6,3
UNDR01_2HCb-bin.21,2420116,80386,586,166,152,58,158,159,144,172,820,1349,1456,4281,7708,16207,34473,1935,7000,22277,5264413,71200,106189,15051,5085,61883,27429,12698,17346,29849,39391,138752,125985,169395,62,45,64,51,120,71,82,70,88,103,122,86,60,105,84,102,102,73,46,208,58
UNDR01_2HCb-bin.22,51438,1215,31,37,19,6,19,21,14,4151,15981,93,144,10,29,33,38,26,183,288,49043,2540,1149,19,7,1708,600,647,24,21,24,413,383,268,8,14,19,21,29,28,33,42,26,24,26,23,18,28,29,19,21,17,19,20,16
UNDR01_2HCb-bin.44,39819,7618,7,12,2,3,18,15,7,207,659,5,1,13,4,12,30,6,29,3,43034,23403,5018,9,16,143,60,75,120,147,153,1876,1845,1609,9,6,5,7,3,7,8,11,9,6,9,4,9,4,5,11,9,6,1,3,8
UNDR01_2HCb-bin.49,3154962,3915941,754,567,701,151,594,419,417,5397,27898,946936,1442469,3321,1347,758,1297,1181,1484,3470,3986418,3330980,6347066,7847,3686,4925,1598,1855,1776,1862,1943,2122,1852,1869,196,165,166,188,357,258,274,234,191,355,420,285,232,263,249,327,297,236,158,1667,173
UNDR01_2HCb-bin.5,109485,3962,4,2,6,0,2,2,4,62,268,9,14,2,41,2,11,1,12,16,202207,8431,2791,7,2,93,37,28,9,10,13,354,124,128,9,11,2,5,6,10,8,5,14,8,3,4,4,6,3,2,3,4,2,4,8
UNDR01_2HCb-bin.52,415912,50948,6362,11030,11547,3474,4883,5960,5665,76266,367883,8294,11920,235,35,86,186,46,220,29,507687,169554,27603,382,305,119786,50858,69651,3320,3864,3973,38643,34411,32554,1510,1602,965,1081,607,1159,2471,1473,805,609,1306,1801,995,923,616,2563,2248,925,555,744,316
UNDR01_2HCb-bin.54,443175,61274,31,0,5,0,13,11,10,96,298,85,65,9757,108,85,93,118,469,19,1052485,113626,67205,10324,11051,15309,7755,7461,2162,3728,4479,68786,36781,30438,6,7,15,10,11,2,8,11,9,20,1,9,7,12,3,4,1,2,6,4,7
UNDR01_2HCb-bin.56,479490,23861,11,3,3,3,8,11,0,22,73,1174,1255,8,8,4,10,2,14,22,635170,42847,26785,15,8,28,7,10,126,102,122,4144,4629,4538,10,5,4,3,8,0,3,18,8,11,4,6,5,6,3,7,7,10,8,76,26
UNDR01_2HCb-bin.60,237316,1509,26,6,4,2,9,5,2,3914,14492,569,685,31,51,3,14,42,85,104,347310,2068,1587,7,3,819,298,354,14,12,6,300,473,763,10,9,5,7,16,6,15,12,15,11,10,7,12,13,16,9,7,12,4,10,7
UNDR01_2HCb-bin.67,103971,7161,12,7,5,0,5,9,7,749,3807,42,45,13,34,25,50,12,72,116,168045,6753,11144,23,10,5972,1583,1813,540,528,919,3030,3597,3788,10,8,7,8,30,12,9,14,19,14,13,7,20,22,14,20,16,11,2,20,10
UNDR01_2HCb-bin.8,270790,5776,16,15,13,4,8,12,9,1915,9842,95,123,3,2,6,26,2,56,90,411936,8322,6575,3,1,804,297,217,19,14,19,70,85,80,10,12,15,9,28,8,23,18,19,16,17,19,21,19,21,13,11,23,10,14,6
UNDR01_2HCb-bin.9,114865,11704,8,3,0,1,2,3,2,10619,27232,141,118,2,4,2,4,1,16,41,218024,21367,14977,6,2,3521,910,875,63,26,48,6311,5159,5455,9,12,6,2,11,2,7,8,2,7,3,9,4,6,5,3,4,2,3,6,3
UNDR01_2MCb-bin.12,71648,100766,3507,2210,2284,380,1377,1893,1928,1374,4054,55399,76911,458,3948,3322,6693,2653,4707,5438,102840,113095,142622,1314,889,5478,2064,3110,905,919,1990,2276,2134,2458,317,29,35,28,37,136,49,432,72,37,632,668,761,612,256,1022,769,1524,1061,620,1402
UNDR01_2MCb-bin.13,41780,104620,2916,4762,3765,793,1585,2006,1841,105,696,27634,39795,2953,389,13,30,228,86,13,82563,70003,211346,8229,5568,34343,9671,7540,3432,2610,6142,5250,3552,3866,2430,1686,2459,2595,4116,1808,1615,1566,1253,5885,10857,12919,14964,19410,10011,13574,10052,13834,752,3807,3342
UNDR01_2MCb-bin.17,135508,322673,131,27,41,12,10,8,6,19,44,4818,6882,15,9,2,6,2,19,17,246180,221853,569473,34,16,106,32,14,917,1183,1191,1806,1460,1256,25,21,30,32,53,13,18,40,25,42,47,44,41,60,54,61,51,36,29,68,23
UNDR01_2MCb-bin.18,90203,177790,127,184,141,36,51,86,83,102,490,10680,13863,69,15,13,40,16,83,65,167380,153255,335756,146,90,373,96,67,375,404,454,621,405,488,56,50,69,65,80,31,44,45,52,101,330,346,435,530,241,364,293,448,33,184,103
UNDR01_2MCb-bin.20,170591,240204,219,293,239,41,93,115,100,212,1069,39635,61186,245,38,6,11,14,25,21,333775,216699,478136,664,451,2339,592,434,431,554,609,877,649,499,268,252,326,320,447,196,244,218,229,636,646,843,851,1082,747,911,748,758,145,354,181
UNDR01_2MCb-bin.21,595,207927,1,2,1,0,15,3,1,9,35,19981,25978,14,0,0,1,1,0,3,977,935837,57188,25,12,17,4,5,158,198,162,18,16,19,4,0,4,7,1,2,1,1,0,0,2,2,1,1,6,3,2,1,2,2,1
UNDR01_2MCb-bin.22,46897,86428,12,9,13,5,8,7,3,12,39,2292,2694,22,1,0,1,2,2,7,91783,74866,177057,55,20,66,13,21,200,280,255,344,286,248,26,20,19,13,33,9,8,21,19,28,24,43,31,46,26,34,41,32,27,31,17
UNDR01_2MCb-bin.32,687655,706844,632,771,648,178,366,366,334,1412,6570,48540,69564,602,251,117,270,140,273,245,1335313,627039,1525527,1591,1143,5803,1280,1069,1700,2766,2755,6034,4495,5900,1187,1089,1538,1690,2248,856,1029,936,909,3095,1899,2610,1994,2329,2439,3097,2361,1837,547,1514,583
UNDR01_2MCb-bin.37,951173,119086,1068,699,687,644,381,448,400,45952,183580,24173,33667,11554,479914,418209,818414,325454,563570,674353,1877440,159990,125609,46883,24633,665133,260880,398409,20457,25978,33689,59703,51986,67136,413,336,362,482,521,334,378,340,274,731,590,781,523,619,606,1762,1566,522,473,448,383
UNDR01_2MCb-bin.40,23756,83431,554,873,733,168,268,379,375,56,259,12132,17991,668,115,7,10,53,30,9,48845,57383,142134,1521,1057,5680,1550,1200,814,608,1289,1103,765,845,481,300,470,503,834,352,305,311,283,1109,1929,2125,2529,3513,1785,2413,1832,2594,161,710,611
UNDR01_2MCb-bin.47,3961,18974,4,8,6,0,11,11,11,171728,513730,630,1057,9,4,9,21,4,37,3,6360,59599,7158,24,17,59638,25536,52959,36,11,650,11052,8187,10682,4,3,3,2,9,5,1,4,4,2,8,10,3,7,6,4,0,0,2,1,2
UNDR01_2MCb-bin.50,146534,507796,326,390,378,98,231,255,218,238,1003,20772,25935,350,171,129,326,126,336,282,304686,337466,920369,790,672,3075,700,595,1110,1079,1326,2132,1222,1692,524,441,620,678,849,358,456,431,382,1262,738,1050,864,943,1011,1344,996,768,196,622,254
UNDR01_2MCb-bin.8,296742,584088,676,1177,859,193,373,435,393,346,1817,96722,137577,2806,266,19,37,155,79,44,590409,528935,1405786,5353,4522,16497,3633,2627,987,1372,1547,2034,1261,1133,1414,1010,1483,1557,2471,1052,1033,996,817,3563,2521,3130,2450,3021,2979,4011,2814,2713,383,1585,765
UNDR03_102-bin.12,96,43,42828,334,746,257,280,2743,2147,30,115,17,14,42,42,67,135,24,205,27,347,135,71,79,58,217,43,28,30457,17522,76197,10971,2854,18207,40,15,26,22,19,23,35,40,11,22,63,25,32,34,28,63,25,25,12,27,22
UNDR03_102-bin.16,541,348,37524,11822,14044,3161,26565,31080,28248,50,262,65,53,28728,50870,33332,39373,42622,17575,133668,1054,469,422,58420,32288,48676,21661,27722,24155,32753,33973,32942,26335,25841,5293,4085,8664,8185,3393,2570,3578,6229,3870,6009,35531,15765,10000,15697,10382,6533,6296,23290,3863,25874,8383
UNDR03_102-bin.23,114,193,210682,5815,13766,3243,24408,19912,17251,9,31,16,7,96,165,52,98,402,77,1935,501,300,254,328,87,2979,3220,7192,153240,60900,187141,70441,32301,20354,3999,4803,19711,8535,5132,2539,7153,16069,5593,6317,3597,4069,7998,8268,5585,2355,2042,2869,1244,3467,1834
UNDR03_102-bin.25,327,69,273848,7280,8880,1822,7428,9204,4874,73,405,67,32,82,47,95,79,48,152,297,1340,107,178,84,44,638,184,82,1709,1474,2164,5528,14225,4789,86,74,164,114,137,144,126,151,93,131,1141,168,153,274,471,158,149,10469,50,154,5930
UNDR03_102-bin.27,167,35,84672,29500,35395,10245,12944,5590,6396,15,117,42,25,107,135,10,9,5,132,64,757,65,131,20,14,81,191,230,36696,27161,47892,27969,20120,40287,8193,12288,6069,4117,2304,5470,11356,6308,2837,4875,13626,13447,10776,10787,5892,5574,5895,6426,3743,4229,1473
UNDR03_102-bin.30,857,1407,61229,4672,131,1195,23765,21469,25098,0,0,0,0,558,0,0,36,10,1,0,1817,2789,1788,100,23,428,67,254,46997,17272,83270,55875,42888,68415,30,84,719,625,332,36,96,551,311,631,4737,2820,1909,3524,1888,507,485,3781,11224,4652,28859
UNDR03_102-bin.33,1971,787,191652,23693,48282,4373,2220,651,1490,62,239,434,335,222,172,39,70,243,154,1358,3851,1098,1565,405,110,1088,415,690,24693,154729,323096,456283,224519,347166,1173,429,465,321,400,75,212,234,116,440,3645,1075,785,926,580,277,257,790,351,1384,340
UNDR03_102-bin.39,4364,6234,891993,194717,162159,50974,385757,203884,257511,3,10,72,40,2,5,2,11,3,17,14,9047,6813,11751,14,1,55,12,4,340358,4480,472124,3504283,1836536,1848136,24,33,15,24,34,6,10,18,16,31,93,45,39,50,35,45,36,41,31,35,17
UNDR03_102-bin.59,87,156,356934,1458,3420,728,16064,26566,25061,9,41,64,24,269,279,27,38,32,36,2658,494,207,188,304,184,409354,1118066,233,65360,3189,177104,40703,16249,36753,418,18722,24158,25302,15296,230,18749,21646,13395,20080,56188,51756,21668,24866,31364,229,206,10376,8928,15023,24628
UNDR03_102-bin.63,1000,1362,198186,12818,21105,2894,10106,55194,42498,1,0,2,3,0,0,0,0,0,1,0,1811,1705,2100,2,1,6,58654,68,78063,80202,71726,27231,13319,19367,48,48,16,27,68,8,202,205,116,133,462,207,177,391,946,1170,1174,508,21125,4989,825
UNDR03_102-bin.67,207,511,84149,8339,13116,2669,26553,41305,31864,0,1,3,0,6,12,2,108,2,1,7,552,631,465,21,12,343,846,63,196368,12546,169484,25041,37894,15193,1802,3218,17478,4748,5094,1187,3389,12914,4203,22641,3626,5014,12999,23184,36338,12450,12049,7232,7595,8475,16772
UNDR03_102-bin.74,2458,938,230214,428044,506033,182196,16087,2645,2561,795,4019,1605,1951,1479,1997,1676,2636,1823,3336,5280,4651,1377,1289,3694,2401,6076,2125,3527,185913,3766,84411,43265,52130,98497,1025,830,925,937,1083,991,1450,1409,611,1194,2237,1238,1117,1149,1021,1568,1364,1051,366,877,505
UNDR03_102-bin.78,361,191,208991,1117,1032,383,16253,43549,37774,35,241,230,173,60,85,102,204,67,425,689,1104,394,427,153,119,679,317,125,9136,428,93,1531,291,1067,16,35,39,40,48,27,42,46,58,48,117,46,42,60,47,40,41,305,45,110,48
UNDR03_117-bin.14,2735,5457,272652,268931,398665,69061,25241,31685,30223,0,4,47,61,164,311,245,633,950,115,1170307,7970,3392,6256,665,297,78117,74582,47167,242233,34182,195333,86553,68197,91870,4807,1244,591,722,442,3332,1224,347,169,278,132331,8547,1149,780,554,568372,450973,13595,5898,16351,11175
UNDR03_117-bin.23,127,404,171654,177651,140205,54658,141538,155642,201793,0,3,0,2,0,0,1,0,1,1,0,370,696,472,2,0,1,0,0,11812,9513,23250,28353,27131,42198,77,16,4,8,82,11,5,11,5,149,9388,30628,19329,9119,2146,645,606,3493,12818,7369,121471
UNDR03_118-bin.0,288,121,464,101548,167327,6448,239,307,300,50,377,199,121,94,207,315,1051,283,722,2395,1247,152,368,326,282,988,882,726,635,1097,1144,1201,939,423,700,1864,849,307,327,338,2239,752,259,443,336,1829,590,286,208,486,571,146,522,1607,207
UNDR03_118-bin.14,56,2,5583,64004,77215,16145,41047,65078,38193,24,116,15,5,117,169,1,12,1,11,38,279,11,16,4,1,46,11,21,9963,10602,6824,13539,12966,20512,127,122,320,240,180,134,273,264,109,201,209,140,176,148,237,147,166,2805,80,269,55
UNDR03_118-bin.15,58,160,32818,44084,64738,13188,16271,17582,18189,0,3,3,1,85,96,194,319,102,162,49,90,460,169,184,119,147,39,57,16550,19725,3146,34745,12896,16624,1556,3041,728,535,417,344,1962,191,95,1296,11241,8988,4573,4582,2069,16121,15567,8229,4230,2786,7572
UNDR03_118-bin.16,115,105,97156,26471,44574,9973,21086,12109,21784,32,134,15,12,1844,5528,1968,1673,4542,1469,54336,364,146,114,37747,23658,7293,2682,46630,41338,12116,45444,32514,17543,19953,22881,18253,24636,20493,22735,27345,34775,47107,15191,27117,98697,47431,40227,34400,24855,24939,22624,85236,9500,23003,11503
UNDR03_118-bin.24,1085,185,39646,953642,1170742,218662,124614,157864,127173,139,838,26,30,293,290,459,1084,209,993,112,2646,662,186,531,393,1074,290,240,62374,277460,53634,151433,335985,168118,15487,10105,9663,10607,9180,10617,11921,10423,6637,8703,34682,14547,8592,8857,8061,52959,58131,21144,16590,12692,7161
UNDR03_118-bin.29,27,44,49136,65723,97045,12449,46750,47867,44119,3,13,5,4,969,833,636,347,312,182,71,163,87,45,3121,2313,1614,301,545,30274,20745,38631,22266,18555,33494,10922,4137,3767,4268,2331,4931,7295,4140,2886,2487,3457,2485,2099,2633,4115,22783,22040,5005,6470,5578,5810
UNDR03_118-bin.47,281,393,409166,222242,199893,62309,99343,76000,49623,9,45,12,6,38,6,82,32,1,47,1392,867,463,484,462,141,86,31,699,295338,484063,178528,70470,79856,101659,816734,88879,74963,418680,40148,600963,104477,66981,123580,55920,599083,419612,130785,139202,92849,1171187,1092999,162340,136127,79649,49470
UNDR03_118-bin.49,440,73,16414,16527,40728,11291,509,533,444,56,329,10,4,3,0,2,7,1,15,36,601,163,45,5,6,149,82,59,1250,3417,1150,451,408,658,337,1085,710,547,275,162,1067,727,600,539,194,612,520,1230,1444,2294,2292,175,2342,1797,918
UNDR03_118-bin.50,43,7,11935,33007,53146,8911,2783,1854,2179,24,64,6,2,8,2,43,9,2,121,22,295,19,10,567,4,200,576,29,1637,1679,1613,1203,861,532,169,67,152,221,321,85,112,146,103,146,114,161,103,186,104,45,28,165,61,64,1822
UNDR03_118-bin.55,314,257,9333,59815,237769,9355,14500,1722,8337,25,52,418,436,6,19,34,51,16,64,116,1267,371,651,16,7,103,30,16,4594,5871,8729,18064,18311,19522,18327,18197,36895,26547,34982,3884,6075,7563,5917,50811,36231,17621,11403,12845,21460,45171,36148,29774,83044,45189,12023
UNDR03_118-bin.8,18,15,15356,17407,21006,4348,9643,10990,10363,8,1,3,1,1892,656,1059,227,76,152,190,80,56,20,6264,1387,1497,287,645,7239,4723,9061,9480,7128,12260,12633,3964,7534,7378,5488,3051,5146,3944,1642,5112,2379,1636,2780,2669,8035,18929,19305,3051,6789,6881,3968
UNDR03_119-bin.1,77,109,317356,169344,132518,53081,22288,115106,115582,1,12,13,8,1,2,2,3,2,25,19,300,227,155,8,5,18,6,7,9990,23441,23706,1481,1037,463,5363,1208,316,5568,1833,5333,1002,87,1294,1510,28109,3343,543,536,1170,143537,111300,94900,1264,6206,7426
UNDR03_119-bin.18,1775,2496,347877,76585,64124,24762,147928,78294,99889,2,2,19,5,1,1,2,6,3,5,3,3593,2764,4532,5,0,15,7,0,131622,1792,179862,1367355,706297,720438,11,14,9,4,10,7,6,7,6,10,98,110,169,210,98,120,84,213,13,27,85
UNDR03_121-bin.11,202,48,5895,416,587,108,57779,5319,48558,16,117,21,15,78,25,42,56,21,188,345,768,66,128,105,92,238,4169,9513,3273,563,2777,1321,463,542,115,2325,3661,2083,6963,56,2145,3198,2466,11285,509,802,1717,2778,8139,353,381,285,587,962,427
UNDR03_121-bin.2,148,159,440,114,219,61,51103,2646,43521,3,12,15,22,1,7,0,1,1,7,49,491,249,238,2,3,1064,4,35,182,63,134,21012,8130,8779,11,71,25,45,65,16,104,28,23,81,118,127,32,39,91,40,32,278,2514,1951,2689
UNDR03_121-bin.41,49619,62944,93849,151145,112299,25328,49947,53981,51247,101,377,10515,12706,1159,359,49,65,179,140,90,97911,62440,159657,2719,2341,13276,3162,2316,69171,68315,138156,179471,154788,200606,333630,190351,352332,381631,600388,236803,178818,226635,177521,873014,504200,587859,465941,554835,620659,813397,581624,493412,68943,365874,151907
UNDR03_121-bin.52,209,148,2712,1561,1928,533,235829,240108,125368,18,111,15,8,557,202,105,540,364,176,1181,788,247,147,3015,430,2569,689,173150,3660,1835,6477,102047,1627,1373,1404,2482,2711,2187,3092,872,3223,2604,1545,3392,1194,1980,1576,2110,2718,231,276,716,584,1747,808
UNDR03_122-bin.51,1,5,115,18,34,6,31004,34373,24977,0,3,1,2,0,0,0,1,0,0,2,26,17,7,0,3,1,2,23,207,20,244,2398,322,555,49,32,3,2,5,15,43,23,4,3,48,28,20,40,9,31,27,126,10,114,13
UNDR03_122-bin.58,15,23,1280,293,267,104,16423,22607,11520,3,6,1,0,2,1,4,3,0,1,4,99,50,27,1,3,9,0,3,266,293,131,4668,116,17420,476,80,46,267,34,371,108,87,76,41,368,248,94,102,79,751,694,109,90,77,53
UNDR03_123-bin.51,1216,316,39987,21103,22103,5630,1793712,3020267,2304494,115,739,25,19,300,284,459,1027,233,1118,102,2543,956,373,573,417,1113,285,276,68405,36804,196408,794275,961674,802578,20230,116754,89480,82963,67168,11387,103741,79623,61381,66208,239922,112825,80673,99843,74779,2058,2010,212534,100632,86144,52483
UNDR03_123-bin.52,104,13,5055,899,914,222,54578,75080,44250,64,300,33,14,17,20,24,58,11,113,207,440,33,36,36,21,137,38,65,1193,5486,6499,44030,73267,21905,45,42,31,31,33,61,132,98,40,48,133,60,66,61,49,83,70,287,15,64,21
UNDR03_123-bin.60,270,48,2611,3677,4778,1190,8022,102983,104021,65,451,55,51,29,27,32,43,31,120,679,693,114,83,58,42,353,351,471,2229,389,1107,17802,26410,4199,110,4502,2670,8526,8137,122,5514,2893,7343,10503,1322,2276,3778,8000,11508,78,49,4118,1029,3916,2086
UNDR03_1HAb-bin.0,245520,39276,4975,4594,4995,1836,3978,4961,4325,281492,1013672,34255,45998,92206,2137,2567,6359,728,11049,2868,331340,136850,19634,190109,158004,314150,125533,178029,77877,103231,114811,128020,109029,103349,1219,1298,1096,1158,1052,930,2209,1628,1175,1055,1030,1744,989,1351,1068,1663,1463,614,395,770,314
UNDR03_1HAb-bin.1,556,2088,2,5,2,0,3,0,2,40396,121294,241,322,18,1,0,3,0,0,1,1075,7336,956,115,152,176494,59130,159919,620,547,701,10286,9968,12281,2,5,3,3,1,7,5,9,2,3,3,3,6,7,1,1,1,4,1,3,2
UNDR03_1HAb-bin.12,5384,2388,13,8,6,6,8,8,5,66458,205934,2582,3669,535,103,119,227,75,290,89,9361,8022,1542,1225,950,3785,1442,1609,349,526,516,699,639,608,4,8,3,8,18,7,6,8,8,10,9,7,4,11,6,7,8,10,0,10,6
UNDR03_1HAb-bin.21,180734,81947,14,181,236,40,91,72,91,306531,1286745,24466,36431,774,4069,4388,9297,2561,7437,13024,270915,174612,75234,2138,1259,133615,62563,37102,430,395,420,4279,4805,3300,54,7,5,18,17,27,11,12,13,18,66,21,17,19,17,174,216,79,31,464,19
UNDR03_1HAb-bin.23,9049,3108,3,5,17,4,4,130,45,167701,621232,50516,69214,103,99,21,32,148,449,105,17380,9865,1875,121,21,1637,738,982,7,5,19,41,39,22,15,7,8,7,11,5,9,11,13,12,5,9,7,10,6,7,3,7,3,8,11
UNDR03_1HAb-bin.3,148758,101906,2364,1311,1447,431,983,1379,1187,950321,2897523,5687,8832,69798,23939,51196,81596,10575,28927,2437,178088,349307,44890,198330,157247,700506,314958,560949,48925,54526,65462,113427,92850,99592,360,367,217,248,137,271,662,355,184,156,302,482,243,247,120,557,533,157,110,177,68
UNDR03_1HAb-bin.30,394,64,10,4,3,3,12,5,6,43859,92133,179,205,1,2,0,3,0,10,17,1108,251,46,0,1,441,259,217,2,15,11,2,19,5,0,2,0,1,5,6,8,9,3,2,2,1,3,9,6,5,3,3,0,6,3
UNDR03_1HAb-bin.8,37115,12580,1638,1316,1289,474,2405,2379,2575,298350,1204202,23120,32358,391514,541,612,1483,324,1551,258,41673,45785,6681,1256457,1216844,3794051,1870055,3004431,21577,14202,22841,53901,48739,42430,236,263,205,229,181,177,428,319,265,189,201,319,210,259,208,371,350,114,77,131,63
UNDR03_1HAb-bin.9,57986,16961,1405,790,1043,195,599,649,620,135430,441496,3406,2555,231,380,378,506,420,1596,3858,102100,31861,20057,532,361,11149,3873,4778,912,586,733,2111,1483,1741,457,621,525,464,780,402,820,637,418,767,828,606,448,506,585,479,381,467,182,353,242
UNDR03_1HBb-bin.0,24331,20915,5,6,4,5,10,13,8,74350,244501,4568,6096,13,3,0,5,3,10,10,24506,49076,15737,42,23,59009,25321,28988,68,67,127,575,828,786,16,11,7,12,24,8,11,11,9,14,25,18,18,39,13,34,30,16,17,122,11
UNDR03_1HBb-bin.10,22815,7485,24,20,13,8,10,10,5,57832,207811,343,467,21,93,69,86,88,101,98,32832,17955,6269,44,25,1256,362,470,39,34,39,175,141,115,3,11,11,4,13,2,5,13,15,9,15,9,7,7,13,5,8,17,4,3,7
UNDR03_1HBb-bin.11,2273,2097,5,10,4,1,5,9,5,74334,239684,11572,16346,7,5,5,19,8,53,65,4689,5013,1867,4,7,474,316,423,5,4,9,15,6,2,21,11,14,6,27,11,23,21,19,23,12,12,20,17,13,8,11,16,9,14,13
UNDR03_1HBb-bin.12,14790,8335,24,15,14,4,11,16,9,51425,211224,449,491,11,5,55,17,9,54,55,28237,8993,9576,20,7,18434,7812,11937,24,28,20,254,60,31,22,17,22,16,32,24,26,25,20,30,33,31,30,35,32,30,27,30,7,15,10
UNDR03_1HBb-bin.14,5203,5169,6,7,2,8,7,6,1,171103,556457,5358,6782,34,7,4,13,5,18,14,7793,12150,5899,67,23,113224,46626,61766,48,40,50,316,391,462,15,12,4,5,19,18,9,9,11,22,21,22,20,19,17,22,24,19,16,149,13
UNDR03_1HBb-bin.15,20211,5540,8,9,21,3,17,9,5,25243,126746,1326,2045,27,17,40,127,14,83,252,29054,10151,5612,65,28,73088,31340,39607,85,69,87,693,798,770,22,3,10,5,13,21,17,32,21,11,16,23,26,25,5,24,30,13,9,64,5
UNDR03_1HBb-bin.2,927,72,16,8,12,5,11,26,15,39621,105554,200,315,0,0,0,3,0,7,13,2539,151,23,2,3,6333,3210,3242,6,30,7,158,187,118,5,5,5,2,3,10,5,4,4,4,4,5,0,9,3,5,9,4,1,1,4
UNDR03_1HBb-bin.20,2462,557,13,11,7,1,7,8,6,25713,100463,717,1025,29791,42,15,42,41,120,376,3696,1230,513,172,221,56063,19063,27460,15,24,25,166,165,178,5,15,6,4,13,4,12,11,14,13,8,15,7,9,14,13,7,7,3,8,5
UNDR03_1HBb-bin.22,155902,54860,60120,1163,1230,374,1048,1747,1592,69671,341364,3704,5974,2372131,54466,81643,124841,7694,12107,1464,195362,250800,23884,5044508,4075376,4505867,1687655,2560668,2261869,2905770,3338599,2928436,2518235,2470361,85,39,36,56,61,46,64,82,70,55,82,53,38,75,59,92,96,55,21,43,23
UNDR03_1HBb-bin.24,31,11,2,0,0,0,0,0,0,15435,45367,6,11,0,1,0,0,0,1,2,109,59,8,0,1,263,121,117,0,0,0,3,2,0,0,1,0,1,3,0,1,1,4,3,0,3,2,4,2,1,2,2,0,0,2
UNDR03_1HBb-bin.25,22938,11906,58,62,64,13,44,48,52,28831,156657,1432,2296,493,89,215,346,28,174,18,22686,33905,7644,1167,40642,102196,23130,37931,5963,2406,4937,9630,5478,4518,25,13,17,12,15,18,21,26,27,17,30,21,20,23,17,33,29,20,8,13,7
UNDR03_1HBb-bin.27,1472,946,0,0,1,0,0,1,0,4310,22114,92,136,1,0,3,4,0,2,2,2973,1101,999,1,0,426,130,211,0,0,1,2,6,1,2,5,2,3,1,1,7,3,2,3,5,2,4,7,3,2,0,0,0,1,1
UNDR03_1HBb-bin.29,104258,6484,11,9,4,1,4,14,10,80515,313624,855,1377,4,36,5,5,12,56,34,119713,13085,6613,8,7,47911,14187,14085,49,34,54,2709,2329,2315,7,8,5,5,14,14,12,18,6,15,6,10,13,14,13,10,9,12,3,11,4
UNDR03_1HBb-bin.30,323,907,32,11,33,12,41,40,64,10029,34809,874,1027,29,10,6,16,4,20,105,797,3970,487,43,31,4028,2083,1837,68,34,46,378,327,235,147,39,205,158,84,26,55,73,25,103,24,9,69,65,168,10,20,25,23,126,15
UNDR03_1HBb-bin.31,9903,637,2,3,0,1,1,2,0,8516,40352,886,1319,0,1,2,4,1,16,3,12474,1203,548,2,2,141,62,97,3,4,1,3,5,7,5,5,8,0,7,5,5,13,7,11,4,6,11,12,2,7,11,4,2,7,2
UNDR03_1HBb-bin.35,11226,3928,22,18,17,2,18,13,8,121421,386969,17964,25594,218,116,335,324,729,1688,775,18116,9590,3113,760,238,12597,6649,7734,74,57,74,306,246,261,25,23,19,12,38,12,17,18,29,19,21,17,14,20,16,22,30,22,11,9,14
